1,Gender,VARCHAR,
2,Date of Birth,DATE,
3,First Visit,DATE,
4,Is the patient Diabetic?,BOOL,
5,Type of Diabetes,INT,
6,Prefers activity to sedentarism,BOOL,
7,Physical education in school,DECIMAL,(hrs/week)
8,Extracurricular activity,DECIMAL,(hrs/week)
9,Type of extracurricular activity,VARCHAR,
10,TV,DECIMAL,(hrs/day)
11,Screen,DECIMAL,(hrs/day)
12,Gestational Age of the Mother,INT,
13,Gestational Obesity in the mother,BOOL,
14,DM during pregnancy,BOOL,
15,Hypertension in pregnancy,BOOL,
16,Preeclampsia,BOOL,
17,Prev. Abortion,BOOL,
18,Prev. Premature Birth,BOOL,
19,Weight gain in pregnancy,DECIMAL,(Kg)
20,High risk,BOOL,
21,Gestational age,INT,(Weeks)
22,C-Section,BOOL,
23,Vaginal Birth,BOOL,
24,APGAR,DECIMAL,
25,Birth weight,DECIMAL,
26,Birth size,DECIMAL,
27,Complications,VARCHAR,
28,Breastfeeding,INT,(months)
29,Age of ablactation,INT,(months)
30,Introduction to cereals,INT,(months)
31,Introduction to proteins,INT,(months)
32,Introduction to whole milk,INT,(months)
33,Introduction to juices,INT,(months)
34,Age of introduction to the familys diet,INT,(months)
35,Age at which they stopped the bottle,INT,(months)
36,>16 Oz of milk per day,BOOL,
37,Fixed meal times,BOOL,
38,They skip meals,BOOL,
39,Consumes processed foods,BOOL,
40,Watches TV while eating,BOOL,
41,Brings lunch,BOOL,
42,Eats school food,BOOL,
43,Eats with the family,BOOL,
44,Pc Size,DECIMAL,
45,Pc TBF,DECIMAL,
46,Diastolic BP,INT,
47,Sistolic BP,INT,
48,Pc TA,DECIMAL,
49,Comorbidities,VARCHAR,
50,Signs,VARCHAR,
51,Visitation Timestamp,TIMESTAMP,
52,Age,INT,
53,Weight,DECIMAL,(kg)
54,Size,DECIMAL,(cm)
55,Waist,DECIMAL,(cm)
56,BMI,DECIMAL,
57,BP,VARCHAR,
58,Fat %,DECIMAL,
59,HR (BPM),INT,
60,Muscle %,DECIMAL,
61,Visceral Fat,DECIMAL,
62,TANNER,INT,
63,Activity enjoyment,INT,"(0-6, 0 = Strongly Disagree, 6 = Strongly Agree)"
64,Any musculoskeletal injury?,BOOL,
65,Which one?,VARCHAR,
66,Evolution,VARCHAR,
67,Any programmed activity?,BOOL,
68,Which one?,VARCHAR,
69,Days per week,INT,
70,Minutes per seseson,INT,
71,Leg length,DECIMAL,(cm)
72,Shoe Size,DECIMAL,(cm)
73,Hand dominance,VARCHAR,
74,Basal O2 Sat,INT,(%)
75,Basal HR,INT,(BPM)
76,Basal BP,VARCHAR,
77,Basal disnea (BORG),INT,
78,Basal Fatigue (BORG),INT,
79,Gait recorded and saved,BOOL,
80,Comments,TEXT,
81,Number of laps,DECIMAL,
82,Distance walked,DECIMAL,(m)
83,Step count,INT,
84,VO2 Max,DECIMAL,
85,6 min walk recorded,BOOL,
86,Comments,TEXT,
87,Final O2 sat,INT,
88,Final HR,INT,(BPM)
89,Final BP,VARCHAR,
90,Final Disnea (BORG),INT,
91,Final fatigue (BORG),INT,
92,Dorgo Index,DECIMAL,
93,Glucose,INT,
94,Insulin,DECIMAL,
95,HDL,INT,
96,LDL,DECIMAL,
97,Triglycerides,INT,
98,ALT,INT,
99,AST,INT,
100,HOMA,DECIMAL,
101,HBA1C,DECIMAL,
102,Freq. Breakfast Week,INT,day(s) per week
103,Freq. Breakfast Weekend,INT,
104,Freq. Consumption of Fruit,VARCHAR,
105,Freq. Consumption of Vegetables,VARCHAR,
106,Freq. Consumption of Sweets,VARCHAR,
107,Freq. Consumption of Coke or Sugary Beverages,VARCHAR,
108,Walk,VARCHAR,(beginning/middle/end)
109,Outlier (cad)?,BOOL,
110,Outlier (wspd)?,BOOL,
111,Step time,DECIMAL,(ms)
112,Step time Stdev,DECIMAL,(ms)
113,Step time Left,DECIMAL,(ms)
114,Step time Left Stdev,DECIMAL,(ms)
115,Step time Right,DECIMAL,(ms)
116,Step time Right Stdev,DECIMAL,(ms)
117,Cadence,DECIMAL,(steps/min)
118,Cadence Stdev,DECIMAL,(steps/min)
119,Step length Left,DECIMAL,(m)
120,Step length Left Stdev,DECIMAL,(m)
121,Step length Right,DECIMAL,(m)
122,Step length Right Stdev,DECIMAL,(m)
123,Stride Length,DECIMAL,(m)
124,Stride Length Stdev,DECIMAL,(m)
125,Walking Speed,DECIMAL,(m/s)
126,Walking Speed Stdev (/step),DECIMAL,(m/s)
127,Froude,DECIMAL,(au)
128,Froude Stdev (/step),DECIMAL,(au)
129,Beta,DECIMAL,(deg)
130,SDa,DECIMAL,(au)
131,SDb,DECIMAL,(au)
132,Ratio,DECIMAL,(au)
133,Walk Ratio ,DECIMAL,mm/(steps/min)
134,Walk Ratio Stdev,DECIMAL,mm/(steps/min)
135,DutyFactor - Double Stance,DECIMAL,(%)
136,DutyFactor - Double Stance Stdev,DECIMAL,(%)
137,DutyFactor - Single Stance,DECIMAL,(%)
138,DutyFactor - Double Stance Stdev,DECIMAL,(%)
139,Preconsultation Timestamp,TIMESTAMP
140,Visitation Date,DATE
